MatDoc,PostDate,Plant,Material,MaterialDesc,Qty,UoM,AmountLC,Currency,CostCenter,MvtType
500001,03.01.2026,Mumbai,D100,Diesel Fuel,5200,LITERS,450000,INR,CC100,261
500002,05.01.2026,Chennai,NG200,Natural Gas,12000,SCF,380000,INR,CC101,261
500003,08.01.2026,Pune,P300,Petrol Fuel,2100,LITERS,180000,INR,CC102,261
500004,11.01.2026,Kolkata,D101,Diesel Fuel,4300,LITERS,390000,INR,CC103,261
500005,13.01.2026,Bangalore,NG201,Natural Gas,15000,SCF,470000,INR,CC104,261
500006,15.01.2026,Delhi,D102,Diesel Fuel,3900,LITERS,340000,INR,CC105,261
500007,18.01.2026,Hyderabad,P301,Petrol Fuel,2800,LITERS,210000,INR,CC106,261
500008,21.01.2026,Ahmedabad,D103,Diesel Fuel,4700,LITERS,410000,INR,CC107,261
500009,24.01.2026,Noida,NG202,Natural Gas,9800,SCF,320000,INR,CC108,261
500010,27.01.2026,Mumbai,D104,Diesel Fuel,6100,LITERS,520000,INR,CC109,261